2,8;3,36;3,088;3,1544;3,146;3,141328
3,2;3,32;3,176;3,1724;3,14248;3,139976
2,8;3,28;3,212;3,1404;3,13472;3,142732
3,2;3,16;3,12;3,1412;3,14052;3,1396
3,2;3,04;3,092;3,1476;3,1414;3,141528
2,8;3,24;3,204;3,1484;3,14016;3,141792
3,6;3,04;3,144;3,1556;3,1376;3,139868
3,6;3,12;3,184;3,15;3,13336;3,14306
3,2;3,04;3,164;3,162;3,1492;3,142756
3,6;3,16;3,148;3,1352;3,13608;3,140032
2,8;3,12;3,192;3,166;3,1424;3,140864
2,4;3,4;3,184;3,1256;3,1388;3,141716
3,6;3,32;3,132;3,1232;3,13956;3,140212
3,2;3,16;3,004;3,1392;3,13164;3,142472
2,8;3,12;3,24;3,1588;3,13748;3,14362
2,8;3,12;3,22;3,1332;3,13332;3,143392
2,8;3,08;3,108;3,1188;3,14016;3,140988
3,6;3,36;3,236;3,1596;3,1434;3,138364
3,2;3,12;3,116;3,1368;3,12988;3,141564
2,8;2,84;3,248;3,1324;3,14532;3,142884
2,8;3,08;3,1;3,1464;3,14756;3,139476
3,2;3,2;3,14;3,1308;3,13644;3,142936
3,6;3,24;3,132;3,1192;3,14164;3,140168
2,4;3,12;3,14;3,1388;3,1368;3,142716
3,2;2,88;3,168;3,1524;3,15072;3,14244
3,6;3,04;3,124;3,1388;3,13916;3,141948
2,4;2,8;3,044;3,1268;3,13304;3,142008
2,8;3,08;3,204;3,1488;3,14232;3,141064
3,2;3,28;3,052;3,1268;3,14956;3,140904
3,2;3,12;3,164;3,1248;3,14412;3,140068
3,6;3,2;3,252;3,1496;3,14288;3,140744
3,2;3,28;3,148;3,1524;3,1422;3,144268
2,4;3,08;3,072;3,1556;3,14076;3,144496
2,8;3,16;3,116;3,1656;3,14376;3,139756
3,2;3,24;3,156;3,124;3,13764;3,141848
3,6;3,28;3,132;3,1328;3,13996;3,141156
3,2;2,96;3,14;3,146;3,13988;3,143556
2,8;3,24;3,084;3,1396;3,13864;3,141856
3,6;3,24;3,124;3,13;3,14536;3,142548
3,6;3,24;2,996;3,1308;3,14384;3,14076
2,8;3,16;3,16;3,1588;3,13844;3,142304
2,8;3,16;3,136;3,1276;3,13608;3,141968
2,8;2,84;3,132;3,1344;3,14224;3,140248
2,4;3;3,108;3,1396;3,14192;3,14382
2;3,04;3,132;3,1608;3,14512;3,143424
3,6;2,92;3,128;3,152;3,14252;3,141012
2,4;3,16;3,168;3,1344;3,14472;3,14192
2,8;3,16;3,076;3,1428;3,1396;3,14022
4;3,44;3,112;3,1496;3,14032;3,143892
3,2;3,2;3,072;3,1216;3,13628;3,145416
4;3;3,14;3,1312;3,14108;3,13996
